player_id,name,current_value,current_date,peak_value,peak_date,days_since_update,is_stale,total_goals,total_assists,total_minutes,total_appearances,total_yellow_cards,total_red_cards,goals_per_90,assists_per_90,date_of_birth,position,sub_position,foot,height_in_cm,country_of_citizenship,age,log_value,age_squared,recent_goals_per_90,recent_assists_per_90,recent_minutes,league_tier,league_tier_missing,predicted_log_value,residual
344008,Ryan Leak,175000,2025-10-21,300000,2023-09-22,129,False,0,0,3839,45,11,0,0.0,0.0,1998-02-28,Defender,Centre-Back,left,191.0,Wales,27.644079397672822,12.07254696717504,764.195125744839,0.0,0.0,646.0,1.0,0,13.294322499164155,-1.221775531989115
265136,Oumar Diakhité,150000,2025-10-21,700000,2014-02-26,129,False,3,0,6493,85,21,0,0.0415832434929924,0.0,1993-12-09,Defender,Centre-Back,right,190.0,Senegal,31.86584531143053,11.918397239722838,1015.4320974120191,0.0,0.0,146.0,1.0,0,12.575533861993081,-0.6571366222702437
334499,Antonio Portales,800000,2025-10-21,900000,2024-12-03,129,False,0,3,2984,37,6,0,0.0,0.0904825737265415,1996-05-16,Defender,Centre-Back,right,184.0,Mexico,29.43189596167009,13.592368256649284,866.2364998985721,0.0,0.09287925696594428,969.0,1.0,0,13.243392864482278,0.3489753921670058
248934,Valeriy Luchkevych,300000,2025-10-21,2500000,2015-06-07,129,False,11,15,12247,181,16,0,0.0808361231321956,0.1102310769984486,1996-01-11,Defender,Right-Back,right,176.0,Ukraine,29.77686516084873,12.611541086966115,886.6616988073667,0.0,0.0,92.0,1.0,0,13.489935800766707,-0.8783947138005921
448854,Emmanuel Dennis,2000000,2025-10-21,17000000,2020-03-30,129,False,42,20,11612,192,39,1,0.3255253186358939,0.1550120564932828,1997-11-15,Attack,Centre-Forward,right,175.0,Nigeria,27.9315537303217,14.508658238524095,780.1716937898481,0.0,0.0,66.0,1.0,0,14.619684561730864,-0.11102632320676875
248936,Pavlo Orikhovskyi,400000,2025-10-21,600000,2021-01-14,129,False,21,12,9814,150,29,0,0.1925820256776034,0.1100468718157733,1996-05-13,Midfield,Central Midfield,right,181.0,Ukraine,29.440109514031484,12.899222326086994,866.7200481981671,0.23376623376623376,0.0,770.0,1.0,0,13.907868250872985,-1.0086459247859914
253819,Abat Aymbetov,400000,2025-10-21,1500000,2020-12-11,129,False,7,0,1890,44,6,0,0.3333333333333333,0.0,1995-08-07,Attack,Centre-Forward,right,184.0,Kazakhstan,30.206707734428477,12.899222326086994,912.4451921531812,0.41589648798521256,0.0,1082.0,1.0,0,13.674588494659089,-0.775366168572095
254036,Bernabé Barragán,350000,2025-10-21,600000,2023-03-24,129,False,0,0,1730,20,1,0,0.0,0.0,1993-02-18,Goalkeeper,Goalkeeper,right,190.0,Spain,32.67077344284736,12.765691290604371,1067.3794373538606,0.0,0.0,1010.0,1.0,0,12.292747581089117,0.47294370951525444
255172,Alexander Jakobsen,50000,2025-10-21,450000,2017-11-17,129,False,1,1,364,9,2,0,0.2472527472527472,0.2472527472527472,1994-03-18,Attack,Left Winger,both,180.0,Egypt,31.59479808350445,10.819798284210286,998.2312659374165,0.0,0.0,30.0,2.0,0,12.633561832755884,-1.813763548545598
257980,Jeroen Houwen,350000,2025-10-21,600000,2018-06-12,129,False,0,0,5239,60,0,0,0.0,0.0,1996-02-18,Goalkeeper,Goalkeeper,right,188.0,Netherlands,29.67282683093772,12.765691290604371,880.4766521388174,0.0,0.0,1620.0,2.0,0,13.633660440517325,-0.8679691499129536
